Date,Open,High,Low,Close,Adj Close,Volume
2021-03-15,133.559998,133.630005,131.970001,133.029999,121.457870,5389200
2021-03-16,133.080002,134.580002,132.750000,134.009995,122.352600,5544700
2021-03-17,134.360001,134.559998,133.380005,133.619995,121.996529,6199500
2021-03-18,132.360001,133.080002,131.410004,132.529999,121.001312,6476700
2021-03-19,132.309998,135.009995,132.179993,134.500000,122.799980,16114400
2021-03-22,135.630005,138.199997,135.089996,137.800003,125.812920,7813400
2021-03-23,138.449997,140.169998,138.179993,139.460007,127.328506,6978400
2021-03-24,139.009995,140.110001,138.779999,138.809998,126.735046,5082300
2021-03-25,139.179993,140.250000,138.339996,139.630005,127.483749,5827600
2021-03-26,139.619995,143.000000,139.130005,142.699997,130.286652,6785600
2021-03-29,142.869995,144.960007,142.419998,144.809998,132.213120,6105800
2021-03-30,143.679993,144.750000,142.119995,142.539993,130.140594,4372700
2021-03-31,143.320007,143.330002,141.169998,141.449997,129.145386,6257900
2021-04-01,141.190002,142.300003,140.110001,141.279999,128.990158,4823400
2021-04-05,141.850006,144.339996,141.320007,143.160004,130.706665,5980700
2021-04-06,143.039993,144.199997,142.559998,143.669998,131.172256,4751900
2021-04-07,144.000000,144.100006,143.020004,143.410004,130.934906,4849200
2021-04-08,143.679993,144.160004,142.050003,142.539993,130.140594,6725100
2021-04-09,142.240005,143.139999,141.610001,142.570007,130.167984,4950800
2021-04-12,142.199997,143.470001,142.050003,143.020004,130.578827,4386700
2021-04-13,142.070007,143.970001,141.869995,143.050003,130.606232,5283300
2021-04-14,142.570007,142.720001,141.240005,142.110001,129.747986,4685300
2021-04-15,141.669998,143.100006,141.419998,142.309998,129.930588,4777100
2021-04-16,143.460007,144.320007,142.460007,144.160004,131.619644,6481400
2021-04-19,144.490005,145.600006,143.259995,144.750000,132.158340,6621200
2021-04-20,144.130005,146.649994,143.929993,145.710007,133.034851,4999700
2021-04-21,147.350006,147.800003,146.210007,146.979996,134.194351,6316000
2021-04-22,146.240005,146.649994,145.380005,146.070007,133.363495,4904400
2021-04-23,145.509995,146.339996,145.059998,145.830002,133.144394,4354700
2021-04-26,145.550003,145.770004,142.979996,143.360001,130.889267,5817700
2021-04-27,142.619995,143.179993,142.130005,142.889999,130.460144,4693700
2021-04-28,143.490005,143.690002,141.729996,141.830002,129.492355,4962700
2021-04-29,142.100006,144.429993,141.970001,143.940002,131.418808,4699900
2021-04-30,143.320007,144.240005,142.500000,144.160004,131.619644,5051100
2021-05-03,145.029999,146.779999,144.100006,145.789993,133.107849,6109800
2021-05-04,145.979996,146.770004,143.490005,143.960007,131.437057,6603800
2021-05-05,143.720001,144.570007,143.500000,143.889999,131.373154,5305200
2021-05-06,144.470001,145.960007,144.009995,145.559998,132.897873,4472200
2021-05-07,145.229996,146.000000,144.570007,145.559998,132.897873,4181000
2021-05-10,146.490005,147.990005,146.110001,146.720001,133.957001,5270600
